Date,Mean_thaw_cm,Standard_Devation_cm,Standard_Error_cm,N,Minimum_cm,Maximum_cm,CV_%
2003-06-17,10.8,4.8,0.3,225,1.5,28.5,44
2003-06-23,15.5,4.8,0.3,225,8,40,31.2
2003-07-02,19.7,7.2,0.5,225,10,51,36.6
2003-07-12,26.5,7.7,0.5,225,10,60,29.1
2003-07-28,34,11.2,0.7,225,10,70,33
2003-08-11,37.7,11.4,0.8,224,10,85,30.3
2004-06-26,21.3,6.9,0.5,225,6,58,32.4
2004-07-02,27.3,8.3,0.6,225,14,59,30.6
2004-07-16,34.9,9.5,0.6,225,19,72,27.2
2004-07-28,41.2,11.7,0.8,225,19,79,28.4
2004-08-11,41.6,11.3,0.8,225,22,82,27.2
2005-06-18,18,4.4,0.3,225,8,38,24.6
2005-07-02,22.1,5.9,0.4,225,12,46,26.9
2005-07-14,27.2,6.8,0.5,225,13,63,25
2005-07-29,37.3,9.2,0.6,224,21,73,24.7
2005-08-11,39.4,9.5,0.6,225,23,82,24.2
2006-06-20,16.6,5.8,0.4,225,8,40,35.1
2006-07-01,24.5,7.3,0.5,225,13,54,29.8
2006-07-15,30.5,11.1,0.7,225,12,66,36.5
2006-07-29,39.7,11.4,0.8,225,16,76,28.7
2006-08-11,43.9,12.3,0.8,225,13,82,28.1
2006-08-21,45,11.8,0.8,225,25,84,26.2
2007-06-16,17,3.9,0.3,225,8,36,22.8
2007-07-02,22.4,5.6,0.4,225,12,44,25
2007-07-12,27.9,7.4,0.5,225,12,51,26.7
2007-07-30,37.2,10.2,0.7,225,10,71,27.3
2007-08-11,42.3,11.3,0.8,225,18,82,26.6
2007-08-21,48.5,11.6,0.8,225,27,87,24
2008-06-28,21.3,7.4,0.5,225,10,47,34.8
2008-07-02,21.7,6.6,0.4,222,9,46,30.5
2008-07-12,29.6,8.2,0.5,222,15,56,27.6
2008-07-26,37.6,9.4,0.6,222,16,67,25.1
2008-08-11,39.9,10.2,0.7,219,16,72,25.5
2009-07-02,28.2,6.8,0.5,225,14,47,24.3
2009-07-25,49.2,10.7,0.7,225,24,77,21.7
2009-08-11,55.2,9.9,0.7,225,22,86,17.9
2010-07-01,29,6.2,0.4,225,18,54,21.3
2010-07-24,43.4,9.9,0.7,225,22,79,22.9
2010-08-06,48.9,9.7,0.6,225,25,75,19.8
2011-07-02,24.3,8.2,0.5,225,15,81,33.8
2011-08-12,50.4,10.4,0.7,225,24,78,20.7
2012-07-03,26.4,7.8,0.5,225,15,58,29.6
2012-08-10,50.3,10.1,0.7,225,30,81,20
2013-07-01,23.9,7.3,0.5,225,12,51,30.6
2013-08-10,49.9,10.2,0.7,224,24,80,20.4
2014-07-03,21.3,6.4,0.4,225,10,40,29.9
2014-08-11,45.2,10.8,0.7,225,24,83,23.8
2015-07-02,39.2,10.8,0.7,225,19,74,27.5
2015-08-10,54.9,10.8,0.7,225,33,94,19.7
2016-07-04,29,8.9,0.6,225,15,66,30.6
2016-08-11,53.8,11.9,0.8,225,28,95,22.2
2017-07-01,25.8,7.3,0.5,225,15,62,28.4
2017-08-10,52.3,12.1,0.8,225,27,118,23.1
2018-06-21,11.7,3.7,0.2,225,4,24,31.1
2018-07-02,23.5,9.1,0.6,225,11,91,38.8
2018-07-12,30.5,10.9,0.7,225,14,100,35.8
2018-07-21,39.6,13.3,0.9,225,21,102,33.5
2018-08-04,50.6,12.4,0.8,225,26,106,24.5
2018-08-11,53.9,14.2,0.9,225,23,115,26.3
2018-08-21,53.5,13.7,0.9,225,28,115,25.6
2019-06-15,17.3,4.2,0.3,225,10,38,24.5
2019-06-22,19.7,5,0.3,225,11,37,25.5
2019-07-02,27,6.2,0.4,225,14,48,22.8
2019-07-13,37.9,7.7,0.5,225,23,70,20.4
2019-07-24,47,8.2,0.5,225,29,75,17.4
2019-08-03,49.6,10.8,0.7,225,33,110,21.8
2019-08-12,53.4,13.3,0.9,225,31,110,24.9
2019-08-26,54.2,12.7,0.9,213,33,110,23.4
2020-07-02,27.4,8.1,0.5,225,12,68,29.4
2020-07-30,37.7,8.1,0.5,228,21,64,21.5
2020-08-10,45.2,9.3,0.6,228,25,81,20.7
2020-08-27,52,9.6,0.6,228,29,87,18.5
2020-09-10,53.1,11.1,0.7,228,33,115,20.9
2021-06-12,7.4,2.2,0.1,228,3,13,29.2
2021-06-24,15.5,4.6,0.3,228,8,35,29.5
2021-07-03,19.7,5.9,0.4,228,7,46,30.2
2021-07-15,28,7.9,0.5,228,15,56,28.2
2021-07-27,38.5,7.9,0.5,228,18,62,20.6
2021-08-10,45.4,10.5,0.7,228,26,104,23
2021-08-24,46.7,9.5,0.6,228,28,75,20.3
2022-06-13,7.5,2.7,0.2,228,2,19,36
2022-06-25,16.2,4.2,0.3,228,9,31,25.8
2022-07-02,19.6,6,0.4,228,8,43,30.6
2022-07-12,29.2,7.2,0.5,228,14,52,24.7
2022-07-20,33.7,7.2,0.5,228,17,59,21.4
2022-07-27,38.9,7.9,0.5,228,23,68,20.3
2022-08-11,42.7,9.1,0.6,228,26,76,21.2
2022-08-23,46.1,9.3,0.6,228,46.1,99,20.3
2023-06-12,9.2,3.1,0.2,228,3,20,33.9
2023-06-24,17,5.1,0.3,228,6,31,29.7
2023-07-01,22,6.5,0.4,228,11,54,29.6
2023-07-17,35,6.9,0.5,228,20,58,19.6
2023-07-31,47.9,9.5,0.6,228,31,88,19.8
2023-08-10,49.6,9.9,0.65,228,27,80,19.9
2023-08-24,52.8,9.6,0.6,228,52.8,84,18.1
2023-09-04,54.8,10,0.7,228,34,91,18.3
2024-06-01,3.6,1.6,0.1,228,0,10,44.5
2024-06-13,9.8,2.9,0.2,228,4,22,29.9
2024-07-01,24.1,7.2,0.5,228,10,51,29.9
2024-07-13,30.1,7.5,0.5,228,16,52,24.9
2024-07-25,43.6,9.7,0.6,228,20,75,22.2
2024-08-10,51.2,9.4,0.6,228,33,80,18.4
2024-08-22,50,11.2,0.7,228,50,87,22.4
2024-09-06,53.6,10.5,0.7,228,35,92,19.6
