lon,lat,date,source,site_id,pf_observed,pf_depth,thaw_depth,obs_limit,method,source_year,source_area,source_subproject,source_event
-156.6,71.3,2006-09-01,Shiklomanov_2010,BE-HED_Control,1,30.0,30.0,,unknown,2006,Control,BE-HED,Barrow_Utqiagvik
-156.6,71.3,2006-09-01,Shiklomanov_2010,BE-HED_Drained,1,28.0,28.0,,unknown,2006,Drained,BE-HED,Barrow_Utqiagvik
-156.6,71.3,2006-09-01,Shiklomanov_2010,BE-HED_Flooded,1,27.0,27.0,,unknown,2006,Flooded,BE-HED,Barrow_Utqiagvik
-156.6,71.3,2007-09-01,Shiklomanov_2010,BE-HED_Control,1,26.0,26.0,,unknown,2007,Control,BE-HED,Barrow_Utqiagvik
-156.6,71.3,2007-09-01,Shiklomanov_2010,BE-CCF_Control,1,26.0,26.0,,unknown,2007,Control,BE-CCF,Barrow_Utqiagvik
-156.6,71.3,2007-09-01,Shiklomanov_2010,BE-HED_Drained,1,28.0,28.0,,unknown,2007,Drained,BE-HED,Barrow_Utqiagvik
-156.6,71.3,2007-09-01,Shiklomanov_2010,BE-CCF_Drained,1,32.0,32.0,,unknown,2007,Drained,BE-CCF,Barrow_Utqiagvik
-156.6,71.3,2007-09-01,Shiklomanov_2010,BE-HED_Flooded,1,29.0,29.0,,unknown,2007,Flooded,BE-HED,Barrow_Utqiagvik
-156.6,71.3,2007-09-01,Shiklomanov_2010,BE-CCF_Flooded,1,31.0,31.0,,unknown,2007,Flooded,BE-CCF,Barrow_Utqiagvik
-156.6,71.3,2008-09-01,Shiklomanov_2010,BE-HED_Control,1,26.0,26.0,,unknown,2008,Control,BE-HED,Barrow_Utqiagvik
-156.6,71.3,2008-09-01,Shiklomanov_2010,BE-CCF_Control,1,30.0,30.0,,unknown,2008,Control,BE-CCF,Barrow_Utqiagvik
-156.6,71.3,2008-09-01,Shiklomanov_2010,BE-HED_Drained,1,25.0,25.0,,unknown,2008,Drained,BE-HED,Barrow_Utqiagvik
-156.6,71.3,2008-09-01,Shiklomanov_2010,BE-CCF_Drained,1,29.0,29.0,,unknown,2008,Drained,BE-CCF,Barrow_Utqiagvik
-156.6,71.3,2008-09-01,Shiklomanov_2010,BE-HED_Flooded,1,28.0,28.0,,unknown,2008,Flooded,BE-HED,Barrow_Utqiagvik
-156.6,71.3,2008-09-01,Shiklomanov_2010,BE-CCF_Flooded,1,34.0,34.0,,unknown,2008,Flooded,BE-CCF,Barrow_Utqiagvik
-156.6,71.3,2009-09-01,Shiklomanov_2010,BE-HED_Control,1,27.0,27.0,,unknown,2009,Control,BE-HED,Barrow_Utqiagvik
-156.6,71.3,2009-09-01,Shiklomanov_2010,BE-CCF_Control,1,36.0,36.0,,unknown,2009,Control,BE-CCF,Barrow_Utqiagvik
-156.6,71.3,2009-09-01,Shiklomanov_2010,BE-HED_Drained,1,24.0,24.0,,unknown,2009,Drained,BE-HED,Barrow_Utqiagvik
-156.6,71.3,2009-09-01,Shiklomanov_2010,BE-CCF_Drained,1,33.0,33.0,,unknown,2009,Drained,BE-CCF,Barrow_Utqiagvik
-156.6,71.3,2009-09-01,Shiklomanov_2010,BE-HED_Flooded,1,30.0,30.0,,unknown,2009,Flooded,BE-HED,Barrow_Utqiagvik
-156.6,71.3,2009-09-01,Shiklomanov_2010,BE-CCF_Flooded,1,41.0,41.0,,unknown,2009,Flooded,BE-CCF,Barrow_Utqiagvik
