source,flag
Bakian_Dogaheh_2020,pf_state_assumed
Barrow_CALM_U1,summary_statistic
Barrow_CALM_U1,date_assigned
Barrow_CALM_U1,coord_site_level
Bonaventure_Whati,date_assigned
Cable_2017,temperature_inferred
Cable_2017,summary_statistic
CALM,date_assigned
CALM,summary_statistic
CALM,coord_site_level
Chapin_2025,summary_statistic
Chapin_2025,date_assigned
Chapin_2025,coord_lookup_or_interpolated
Daanen_2017,obs_limit_assumed
Douglas_Koyukuk_2022,obs_limit_assumed
Fisher_2016,date_assigned
Hanston_etal_2024,obs_limit_assumed
Hanston_etal_2024,pf_state_assumed
Hollingsworth_2005,summary_statistic
Hollingsworth_2005,pf_state_assumed
Holloway_2019,date_assigned
Holloway_2019,model_or_estimate
Jafarov_2016,date_assigned
Jafarov_2016,pf_state_assumed
James_2019,obs_limit_assumed
James_2019,pf_state_assumed
Jones_2025,date_assigned
Jones_Jones_2025,summary_statistic
Jones_Jones_2025,possible_duplicate_or_overlap
NCSS_Lab_Data_Mart,method_approximate_or_unknown
Petrone_etal_2016,date_assigned
PERMOS_2024,temperature_inferred
Schwenk_PFRR,obs_limit_assumed
Selawik,date_assigned
Selawik,obs_limit_assumed
Seward,date_assigned
Seward_2022,date_assigned
Seward_2022,obs_limit_assumed
Smith_Burgess_2000,date_assigned
Smith_Burgess_2000,method_approximate_or_unknown
Smith_Burgess_2000,source_unit_or_code_recoded
Smith_Burgess_2002,date_assigned
Smith_Burgess_2002,method_approximate_or_unknown
Smith_Burgess_2002,source_unit_or_code_recoded
Talucci_2024,model_or_estimate
Talucci_2024,summary_statistic
Talucci_2024,date_assigned
Talucci_2024,possible_duplicate_or_overlap
Utqiagvik_ERT_GPR,date_assigned
Wagner_2019,date_assigned
Wagner_2019,pf_state_assumed
Walker_2022,pf_state_assumed
Wang_2018,temperature_inferred
Wang_2018,date_assigned
Wang_2018,possible_duplicate_or_overlap
Whitley_2018,date_assigned
Whitley_2018,obs_limit_assumed
Zhang_2019,obs_limit_assumed
Zhang_2019,pf_state_assumed
Zhao_2021,temperature_inferred
Zhao_2021,summary_statistic
